Event1		Location:(1,8)	Price:$15.51	amount:349
Event2		Location:(-8,0)	Price:$34.36	amount:622
Event2		Location:(-8,0)	Price:$10.16	amount:795
Event2		Location:(-8,0)	Price:$11.34	amount:366
Event2		Location:(-8,0)	Price:$9.14	amount:803
Event2		Location:(-8,0)	Price:$21.33	amount:579
Event2		Location:(-8,0)	Price:$26.34	amount:507
Event2		Location:(-8,0)	Price:$25.83	amount:922
Event2		Location:(-8,0)	Price:$65.3	amount:377
Event3		Location:(-1,-7)	Price:$56.81	amount:924
Event3		Location:(-1,-7)	Price:$42.01	amount:481
Event4		Location:(-3,6)	Price:$4.13	amount:7
Event4		Location:(-3,6)	Price:$73.88	amount:661
Event4		Location:(-3,6)	Price:$95.56	amount:783
Event4		Location:(-3,6)	Price:$62.18	amount:615
Event4		Location:(-3,6)	Price:$50.54	amount:961
Event4		Location:(-3,6)	Price:$92.56	amount:511
Event5		Location:(1,-5)	Price:$77.01	amount:272
Event5		Location:(1,-5)	Price:$60.44	amount:700
Event5		Location:(1,-5)	Price:$43.61	amount:208
Event6		Location:(7,-4)	Price:$48.85	amount:951
Event6		Location:(7,-4)	Price:$96.4	amount:949
Event7		Location:(4,9)	Price:$7.53	amount:184
Event7		Location:(4,9)	Price:$98.79	amount:788
Event7		Location:(4,9)	Price:$35.95	amount:295
Event7		Location:(4,9)	Price:$42.64	amount:32
Event8		Location:(-4,7)	Price:$38.68	amount:776
Event9		Location:(4,2)	Price:$61.17	amount:830
Event9		Location:(4,2)	Price:$40.39	amount:225
Event9		Location:(4,2)	Price:$46.3	amount:156
Event9		Location:(4,2)	Price:$20.76	amount:898
Event10		Location:(-1,3)	Price:$97.64	amount:842
Event10		Location:(-1,3)	Price:$76.04	amount:970
Event10		Location:(-1,3)	Price:$70.77	amount:457
Event11		Location:(9,-8)	Price:$5.95	amount:422
Event11		Location:(9,-8)	Price:$68.96	amount:820
Event11		Location:(9,-8)	Price:$62.76	amount:282
Event11		Location:(9,-8)	Price:$56.34	amount:811
Event11		Location:(9,-8)	Price:$94.23	amount:308
Event11		Location:(9,-8)	Price:$71.45	amount:287
Event12		Location:(6,1)	Price:$48.29	amount:923
Event12		Location:(6,1)	Price:$54.48	amount:248
Event12		Location:(6,1)	Price:$43.9	amount:122
Event12		Location:(6,1)	Price:$16.93	amount:616
Event12		Location:(6,1)	Price:$13.52	amount:839
Event12		Location:(6,1)	Price:$23.93	amount:830
Event12		Location:(6,1)	Price:$31.39	amount:312
Event12		Location:(6,1)	Price:$70.33	amount:623
Event13		Location:(6,0)	Price:$18.86	amount:936
Event13		Location:(6,0)	Price:$79.13	amount:790
Event13		Location:(6,0)	Price:$76.52	amount:522
Event13		Location:(6,0)	Price:$86.31	amount:850
Event13		Location:(6,0)	Price:$86.67	amount:381
Event13		Location:(6,0)	Price:$70.5	amount:294
Event14		Location:(3,0)	Price:$67.55	amount:82
Event14		Location:(3,0)	Price:$68.22	amount:957
Event14		Location:(3,0)	Price:$27.6	amount:182
Event15		Location:(-3,6)	Price:$27.0	amount:914
Event15		Location:(-3,6)	Price:$49.16	amount:220
Event15		Location:(-3,6)	Price:$19.99	amount:407
Event15		Location:(-3,6)	Price:$39.97	amount:816
Event15		Location:(-3,6)	Price:$1.75	amount:91
Event15		Location:(-3,6)	Price:$84.2	amount:974
Event15		Location:(-3,6)	Price:$83.46	amount:789
Event15		Location:(-3,6)	Price:$63.28	amount:94
Event16		Location:(0,-4)	Price:$40.18	amount:803
Event16		Location:(0,-4)	Price:$43.39	amount:934
Event16		Location:(0,-4)	Price:$64.66	amount:463
Event16		Location:(0,-4)	Price:$75.25	amount:286
Event17		Location:(7,-7)	Price:$7.72	amount:954
Event17		Location:(7,-7)	Price:$43.77	amount:87
Event17		Location:(7,-7)	Price:$98.68	amount:154
Event17		Location:(7,-7)	Price:$80.33	amount:610
Event17		Location:(7,-7)	Price:$27.44	amount:154
Event17		Location:(7,-7)	Price:$99.2	amount:559
Event17		Location:(7,-7)	Price:$43.12	amount:486
Event17		Location:(7,-7)	Price:$10.07	amount:539
Event18		Location:(1,9)	Price:$40.74	amount:908
Event18		Location:(1,9)	Price:$65.74	amount:27
Event18		Location:(1,9)	Price:$37.02	amount:917
Event18		Location:(1,9)	Price:$7.62	amount:52
Event18		Location:(1,9)	Price:$15.31	amount:332
Event18		Location:(1,9)	Price:$79.95	amount:256
Event18		Location:(1,9)	Price:$29.63	amount:566
Event18		Location:(1,9)	Price:$54.02	amount:270
Event19		Location:(0,-3)	Price:$67.57	amount:509
Event19		Location:(0,-3)	Price:$65.88	amount:480
Event19		Location:(0,-3)	Price:$31.03	amount:887
Event19		Location:(0,-3)	Price:$46.9	amount:815
Event20		Location:(2,-6)	Price:$51.55	amount:776
Event20		Location:(2,-6)	Price:$36.86	amount:111
Event20		Location:(2,-6)	Price:$1.76	amount:169
Event20		Location:(2,-6)	Price:$83.41	amount:119
Event20		Location:(2,-6)	Price:$18.63	amount:887
Event20		Location:(2,-6)	Price:$15.47	amount:246
Event20		Location:(2,-6)	Price:$38.6	amount:893
Event20		Location:(2,-6)	Price:$29.52	amount:170
Event21		Location:(0,-7)	Price:$79.18	amount:460
Event21		Location:(0,-7)	Price:$84.39	amount:977
Event22		Location:(3,1)	Price:$46.24	amount:464
Event22		Location:(3,1)	Price:$96.93	amount:363
Event22		Location:(3,1)	Price:$79.2	amount:575
Event22		Location:(3,1)	Price:$58.72	amount:430
Event22		Location:(3,1)	Price:$50.01	amount:43
Event22		Location:(3,1)	Price:$20.33	amount:209
Event22		Location:(3,1)	Price:$33.18	amount:958
Event22		Location:(3,1)	Price:$39.26	amount:837
Event23		Location:(-2,-6)	Price:$22.45	amount:855
Event23		Location:(-2,-6)	Price:$22.45	amount:466
Event23		Location:(-2,-6)	Price:$4.68	amount:987
Event23		Location:(-2,-6)	Price:$64.05	amount:551
Event23		Location:(-2,-6)	Price:$59.21	amount:128
Event23		Location:(-2,-6)	Price:$50.42	amount:975
Event23		Location:(-2,-6)	Price:$40.22	amount:755
Event23		Location:(-2,-6)	Price:$50.84	amount:353
Event24		Location:(2,-1)	Price:$92.3	amount:33
Event24		Location:(2,-1)	Price:$54.73	amount:797
Event25		Location:(-3,0)	Price:$30.9	amount:57
Event25		Location:(-3,0)	Price:$42.42	amount:146
Event25		Location:(-3,0)	Price:$41.81	amount:896
Event25		Location:(-3,0)	Price:$42.16	amount:743
Event27		Location:(6,8)	Price:$96.6	amount:123
Event27		Location:(6,8)	Price:$27.06	amount:317
Event27		Location:(6,8)	Price:$93.6	amount:719
Event27		Location:(6,8)	Price:$2.58	amount:511
Event27		Location:(6,8)	Price:$16.14	amount:764
Event27		Location:(6,8)	Price:$88.01	amount:331
Event27		Location:(6,8)	Price:$19.18	amount:584
Event28		Location:(0,-4)	Price:$3.13	amount:377
Event28		Location:(0,-4)	Price:$2.35	amount:208
Event28		Location:(0,-4)	Price:$41.32	amount:728
Event28		Location:(0,-4)	Price:$6.15	amount:294
Event28		Location:(0,-4)	Price:$73.84	amount:478
Event28		Location:(0,-4)	Price:$20.1	amount:849
Event28		Location:(0,-4)	Price:$89.91	amount:63
Event28		Location:(0,-4)	Price:$23.0	amount:650
Event30		Location:(-3,6)	Price:$89.06	amount:751
Event30		Location:(-3,6)	Price:$69.18	amount:738
Event30		Location:(-3,6)	Price:$89.92	amount:988
Event30		Location:(-3,6)	Price:$52.2	amount:244
Event30		Location:(-3,6)	Price:$7.83	amount:484
Event30		Location:(-3,6)	Price:$48.64	amount:585
Event30		Location:(-3,6)	Price:$6.82	amount:145
Event30		Location:(-3,6)	Price:$92.01	amount:307
Event30		Location:(-3,6)	Price:$29.14	amount:44
Event32		Location:(1,0)	Price:$13.2	amount:551
Event32		Location:(1,0)	Price:$95.4	amount:364
